[2026-06-09 23:30:58,892][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:58,911][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:58,929][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:58,945][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:58,958][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:58,978][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:58,993][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:59,007][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:59,026][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:59,050][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:59,068][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:59,086][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:30:59,103][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:02,851][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:05,053][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:05,074][INFO]: Added non-Steam game 'Clair Obscur - Expedition 33' (app_id=-1069797399) exe=/home/deck/Games/Clair Obscur - Expedition 33/Expedition33_Steam.exe
[2026-06-09 23:31:05,076][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:05,077][INFO]: Updated compat.vdf for app_id=-1069797399 user_id=892854676
[2026-06-09 23:31:05,169][INFO]: Updated local config for user=892854676 app=-1069797399
[2026-06-09 23:31:05,254][INFO]: Updated global config for app 3225169897 proton=GE-Proton10-25
[2026-06-09 23:31:05,254][INFO]: Set Proton version for app_id=-1069797399 unsigned=3225169897 to GE-Proton10-25 (user=892854676)
[2026-06-09 23:31:07,237][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:07,258][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:07,273][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:07,289][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:07,306][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:07,327][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:07,352][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:07,368][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:07,384][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:07,397][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:07,410][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:07,422][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:07,434][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:07,447][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:07,460][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:07,471][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:07,487][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:07,502][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:07,516][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:07,534][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:07,553][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:07,567][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:07,582][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:07,596][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:07,634][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:07,709][INFO]: Found 74 non-Steam games for user 892854676
[2026-06-09 23:31:08,076][INFO]: No gamescope found — using -bigpicture
[2026-06-09 23:31:08,076][INFO]: Detected Steam mode flags: ['-bigpicture']  display_env keys: ['XDG_SESSION_TYPE', 'XAUTHORITY', 'HOME', 'USER', 'DISPLAY', 'XDG_RUNTIME_DIR', 'DBUS_SESSION_BUS_ADDRESS']
[2026-06-09 23:31:08,077][INFO]: Killed Steam process pid=471581 name=srt-logger
[2026-06-09 23:31:08,078][INFO]: Killed Steam process pid=471609 name=steam
[2026-06-09 23:31:08,078][INFO]: Killed Steam process pid=471651 name=srt-bwrap
[2026-06-09 23:31:08,079][INFO]: Killed Steam process pid=471661 name=srt-logger
[2026-06-09 23:31:08,079][INFO]: Killed Steam process pid=471746 name=steam-runtime-launcher-service
[2026-06-09 23:31:08,080][INFO]: Killed Steam process pid=471873 name=steamwebhelper
[2026-06-09 23:31:08,080][INFO]: Killed Steam process pid=471886 name=steamwebhelper
[2026-06-09 23:31:08,081][INFO]: Killed Steam process pid=471896 name=steamwebhelper
[2026-06-09 23:31:08,081][INFO]: Killed Steam process pid=471897 name=steamwebhelper
[2026-06-09 23:31:08,081][INFO]: Killed Steam process pid=471899 name=steamwebhelper
[2026-06-09 23:31:08,082][INFO]: Killed Steam process pid=471917 name=steamwebhelper
[2026-06-09 23:31:08,082][INFO]: Killed Steam process pid=471960 name=steamwebhelper
[2026-06-09 23:31:08,083][INFO]: Killed Steam process pid=471961 name=steamwebhelper
[2026-06-09 23:31:08,083][INFO]: Killed Steam process pid=472008 name=steamwebhelper
[2026-06-09 23:31:08,083][INFO]: Killed Steam process pid=472114 name=steamwebhelper
[2026-06-09 23:31:08,084][INFO]: Killed Steam process pid=472161 name=srt-bwrap
[2026-06-09 23:31:08,084][INFO]: Killed Steam process pid=472287 name=steam.exe
[2026-06-09 23:31:08,084][INFO]: Killed Steam process pid=472289 name=wineserver
[2026-06-09 23:31:08,085][INFO]: Killed Steam process pid=472293 name=services.exe
[2026-06-09 23:31:08,085][INFO]: Killed Steam process pid=472296 name=svchost.exe
[2026-06-09 23:31:08,085][INFO]: Killed Steam process pid=472302 name=winedevice.exe
[2026-06-09 23:31:08,086][INFO]: Killed Steam process pid=472312 name=plugplay.exe
[2026-06-09 23:31:08,086][INFO]: Killed Steam process pid=472319 name=winedevice.exe
[2026-06-09 23:31:08,086][INFO]: Killed Steam process pid=472352 name=rpcss.exe
[2026-06-09 23:31:08,087][INFO]: Killed Steam process pid=472365 name=xalia.exe
